Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2023-01-18,Jornmeijsen,4314000,36,,
2023-01-18,iesdwoet,2995200,8,2894564,
2023-01-20,Jornmeijsen,4400400,36,,
2023-01-20,iesdwoet,3100800,9,2894564,
2023-01-20,ngc_,10653600,12,23592,
2023-01-21,Jornmeijsen,4434000,36,,
2023-01-21,iesdwoet,3280800,9,2894564,
2023-01-21,ngc_,10744800,12,23592,
2023-01-22,Jornmeijsen,4456800,36,,
2023-01-22,ngc_,10808400,12,23592,
2023-01-23,ngc_,10839600,12,23592,
2023-01-24,Jornmeijsen,4479600,36,,
2023-01-25,iesdwoet,3301200,9,2894564,
2023-01-25,ngc_,10852800,12,23592,
2023-01-25,LuckyLuke1112,4039200,1,7658,
2023-01-26,LuckyLuke1112,4134000,1,7658,
2023-01-27,Jornmeijsen,4609200,36,,
2023-01-27,RedPolygon,6986400,19,579,
2023-01-27,iesdwoet,3429600,9,2894564,
2023-01-27,ngc_,11022000,12,23592,
2023-01-27,TuinSlipper,1699200,0,3691,
2023-01-28,Rozenkwarts,1630800,0,1582886,
2023-01-28,Jornmeijsen,4738800,36,,
2023-01-28,RedPolygon,7090800,19,579,
2023-01-28,iesdwoet,3630000,9,2894564,
2023-01-28,ngc_,11198400,12,23592,
2023-01-28,TuinSlipper,2012400,0,3691,
2023-01-29,Rozenkwarts,1732800,0,1602260,
2023-01-29,Jornmeijsen,4842000,36,,
2023-01-29,iesdwoet,3769200,9,2894564,
2023-01-29,TuinSlipper,2077200,0,3691,
2023-01-30,Rozenkwarts,1826400,0,1602260,
2023-01-30,iesdwoet,3878400,9,2894564,
2023-01-31,Rozenkwarts,1926000,0,1602260,
2023-01-31,iesdwoet,3978000,9,2894564,
2023-01-31,TuinSlipper,2089200,0,3691,
2023-02-01,Rozenkwarts,2011200,0,1602260,
2023-02-01,iesdwoet,4189200,9,2894564,
2023-02-01,ngc_,11250000,12,23592,
2023-02-02,Rozenkwarts,2104800,0,1602260,
2023-02-02,iesdwoet,4350000,9,2894564,
2023-02-03,Rozenkwarts,2120400,0,1602260,
2023-02-03,RedPolygon,7184400,19,579,
2023-02-03,iesdwoet,4516800,9,2894564,
2023-02-03,ngc_,11252400,12,23592,
2023-02-04,Rozenkwarts,2223600,0,1602260,
2023-02-04,RedPolygon,7192800,19,579,
2023-02-04,iesdwoet,4609200,9,2894564,
2023-02-05,RedPolygon,7195200,19,579,
2023-02-06,Jornmeijsen,4850400,36,,
2023-02-07,Jornmeijsen,4923600,36,,
2023-02-11,RedPolygon,7280400,19,579,
2023-02-11,ngc_,11394000,12,23592,
2023-02-12,LuckyLuke1112,4245600,1,7658,
2023-02-13,ngc_,11469600,12,23592,
2023-02-17,ngc_,11692800,12,23592,
2023-02-17,LuckyLuke1112,4449600,1,7658,
2023-02-18,ngc_,11728800,12,23592,
2023-02-19,ngc_,11756400,12,23592,
2023-02-20,ngc_,11931600,12,23592,
2023-02-20,LuckyLuke1112,4614000,1,7658,
2023-02-22,Rozenkwarts,2228400,0,1602260,
2023-02-23,LuckyLuke1112,4615200,1,7658,
2023-02-24,Jornmeijsen,5066400,36,,
2023-02-24,iesdwoet,4752000,9,2894564,
2023-02-24,ngc_,12088800,12,23592,
2023-02-24,TuinSlipper,2194800,7,3691,
2023-02-25,Rozenkwarts,2232000,0,1602260,
2023-02-25,Jornmeijsen,5161200,36,,
2023-02-25,iesdwoet,4851600,9,2894564,
2023-02-26,iesdwoet,4924800,9,2894564,
2023-02-26,LuckyLuke1112,4671600,1,7658,
2023-02-28,Jornmeijsen,5208000,36,,
2023-02-28,RedPolygon,7426800,19,579,
2023-03-01,RedPolygon,7431600,19,579,
2023-03-02,LuckyLuke1112,4680000,1,7658,
2023-03-03,RedPolygon,7513200,19,579,
2023-03-03,iesdwoet,5020800,16,2894564,
2023-03-03,ngc_,12159600,12,23592,
2023-03-03,TuinSlipper,2253600,10,3691,
2023-03-04,Rozenkwarts,2312400,0,1602260,
2023-03-04,iesdwoet,5072400,16,2894564,
2023-03-04,TuinSlipper,2364000,10,3691,
2023-03-05,iesdwoet,5121600,16,2894564,
2023-03-07,Jornmeijsen,5240400,36,,
2023-03-07,ngc_,12178800,12,23592,
2023-03-10,RedPolygon,7653600,19,579,
2023-03-10,ngc_,12396000,12,23592,
2023-03-11,ngc_,12417600,12,23592,
2023-03-12,ngc_,12478800,12,23592,
2023-03-13,Jornmeijsen,5257200,41,,
2023-03-14,Jornmeijsen,5272800,51,,
2023-03-17,RedPolygon,7735200,19,579,
2023-03-18,RedPolygon,7744800,19,579,
2023-03-21,Jornmeijsen,5370000,51,,
2023-03-21,RedPolygon,7831200,19,579,
2023-03-21,ngc_,12514800,12,23592,
2023-03-21,LuckyLuke1112,4858800,1,7658,
2023-03-22,LuckyLuke1112,4977600,1,7658,
2023-03-23,LuckyLuke1112,5017200,1,7658,
2023-03-26,ngc_,12556800,12,23592,
2023-03-29,RedPolygon,7874400,19,579,
2023-03-30,Jornmeijsen,5372400,51,,
2023-03-31,RedPolygon,8037600,19,579,
2023-03-31,xSusu_,93600,0,,
2023-03-31,ngc_,12781200,12,23592,
2023-04-01,RedPolygon,8149200,19,579,
2023-04-01,xSusu_,252000,13,75135,
2023-04-01,ngc_,12895200,12,23592,
2023-04-02,xSusu_,424800,28,75135,
2023-04-03,xSusu_,504000,28,75135,
2023-04-04,xSusu_,530400,28,75135,
2023-04-05,xSusu_,571200,28,75135,
2023-04-06,xSusu_,578400,28,75135,
2023-04-07,TuinSlipper,2401200,10,3691,
2023-04-13,LuckyLuke1112,5190000,1,7658,
2023-04-14,LuckyLuke1112,5242800,1,7658,
2023-04-15,Jornmeijsen,5490000,51,,
2023-04-15,RedPolygon,8271600,19,579,
2023-04-16,RedPolygon,8278800,19,579,
2023-04-17,RedPolygon,8473200,19,579,
2023-04-17,ngc_,13141200,12,23592,
2023-04-17,LuckyLuke1112,5373600,1,7658,
2023-04-18,RedPolygon,8478000,19,579,
2023-04-21,LuckyLuke1112,5382000,1,7658,
2023-04-22,Jornmeijsen,5527200,51,,
2023-04-23,Jornmeijsen,5544000,51,,
2023-04-24,LuckyLuke1112,5457600,1,7658,
2023-04-25,iesdwoet,5204400,16,2894564,
2023-04-27,iesdwoet,5259600,16,2894564,
2023-04-28,RedPolygon,8571600,19,579,
